"Scenario","rep","estimator","theta","se","ci_l","ci_u","n_np","n_p","n_union","error","phi_1","phi_se_1","phi_ci_l_1","phi_ci_u_1","phi_2","phi_se_2","phi_ci_l_2","phi_ci_u_2","phi_3","phi_se_3","phi_ci_l_3","phi_ci_u_3","phi_4","phi_se_4","phi_ci_l_4","phi_ci_u_4"
"S4",3,"NP_P",-0.0481914509242282,0.0256493431166212,-0.0984632396599161,0.00208033781145971,1490,217,1707,NA,-2.16507105202805,NA,NA,NA,-0.568936159043386,NA,NA,NA,-0.652859181644418,NA,NA,NA,NA,NA,NA,NA
"S4",3,"Eff_S",-0.0461097680187998,0.0591464236505227,-0.162034628188172,0.0698150921505727,1490,217,1707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",3,"Eff_P",-0.226895912729654,0.0315915089991509,-0.288814132585263,-0.164977692874046,1490,217,1707,NA,-2.18087262735111,NA,NA,NA,-0.370867229892292,NA,NA,NA,-0.618139417846989,NA,NA,NA,NA,NA,NA,NA
"S4",3,"Eff1_union",-0.103518829681083,0.069114396385951,-0.238980557410772,0.0319428980486065,1490,217,1707,NA,-2.14751276068132,0.0873211906066061,-2.31865914935742,-1.97636637200521,-0.417157549020336,0.0996675515513926,-0.612502360488354,-0.221812737552317,-0.64984240051661,0.102229171091441,-0.850207894025218,-0.449476907008001,NA,NA,NA,NA
"S4",3,"Eff2_union",-0.113538411592971,0.0712161622078884,-0.253119524637595,0.0260427014516522,1490,217,1707,NA,-2.16785179969976,0.0864095141799003,-2.33721133541397,-1.99849226398555,-0.395831580995968,0.0987694985181309,-0.589416240862587,-0.202246921129349,-0.630295465440061,0.10199785883194,-0.830207595250864,-0.430383335629258,NA,NA,NA,NA
"S4",3,"Eff1",-0.0299168300321984,0.0201065766740347,-0.0693249961656995,0.00949133610130266,1490,217,1707,NA,-2.1578641209247,0.0387291869771872,-2.2337719325505,-2.0819563092989,-0.501754950159918,0.0490479815470741,-0.597887227506568,-0.405622672813268,-0.721321274631863,0.0532493333960782,-0.825688050288942,-0.616954498974784,NA,NA,NA,NA
"S4",3,"Eff2",-0.0296625480361665,0.0211627466758035,-0.0711407693346861,0.0118156732623531,1490,217,1707,NA,-2.15530930911961,0.0387045015975383,-2.23116873829036,-2.07944987994886,-0.498207091536825,0.050967332645302,-0.59810122790969,-0.398312955163961,-0.723732409243253,0.0542363663244756,-0.830033733891546,-0.61743108459496,NA,NA,NA,NA
"S4",4,"P",0.0712880011402292,0.0726867383426455,-0.0711753881650424,0.213751390445501,1472,232,1704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",4,"NP",0.187597673714036,0.0650588309502426,0.0600847081752804,0.315110639252791,1472,232,1704,NA,-2.07848284534434,NA,NA,NA,-0.237198932599774,NA,NA,NA,-1.1219354965075,NA,NA,NA,NA,NA,NA,NA
"S4",4,"NP_P",-0.0292828770215938,0.0273241517766541,-0.082837230411942,0.0242714763687543,1472,232,1704,NA,-2.14738285950085,NA,NA,NA,-0.398767163993986,NA,NA,NA,-0.796049655610191,NA,NA,NA,NA,NA,NA,NA
